subject,context,task,block,n_trials,bias,variability
Subject 6,Long,Reproduction,9,60,0.0601457817788334,0.196028753848265
Subject 6,Long,Reproduction,11,60,-0.0252514097861071,0.220578185300209
Subject 1,Short,Scaling,2,60,-0.0437668335272592,0.20084998591777
Subject 1,Short,Scaling,4,59,-0.0997630629859208,0.246949709006216
Subject 1,Short,Scaling,6,60,-0.0566210469646393,0.182182308911988
Subject 1,Short,Scaling,8,60,-0.0468257949108088,0.184963701366054
Subject 1,Short,Scaling,10,60,0.0147365607239587,0.174779294878302
Subject 1,Short,Scaling,12,60,0.00528510701341706,0.185054616801478
Subject 2,Short,Scaling,2,60,-0.0054270471088913,0.158318106074777
Subject 2,Short,Scaling,4,60,-0.0447394256018654,0.140066450143884
Subject 2,Short,Scaling,6,60,-0.0331908237128458,0.165093939285329
Subject 2,Short,Scaling,8,60,-0.0169384620031037,0.154825239630944
Subject 2,Short,Scaling,10,60,-0.0210338418154408,0.13700778078309
Subject 2,Short,Scaling,12,60,0.0175730832448919,0.170601443170301
Subject 3,Short,Scaling,2,60,-0.0272489014806414,0.162618703442659
Subject 3,Short,Scaling,4,60,-0.0353189144881806,0.117184770460147
Subject 3,Short,Scaling,6,60,0.0105272503857095,0.193481219240513
Subject 3,Short,Scaling,8,60,-0.00954460164730695,0.135434163424821
Subject 3,Short,Scaling,10,60,-0.0229638196506135,0.156428616160069
Subject 3,Short,Scaling,12,60,-0.0508879500255929,0.146204828434761
Subject 4,Short,Scaling,2,60,-0.0182410748143798,0.175847622084663
Subject 4,Short,Scaling,4,60,-0.023891508325733,0.169939920978165
Subject 4,Short,Scaling,6,60,0.0469562649412677,0.179792693179655
Subject 4,Short,Scaling,8,60,-0.0305183676912445,0.159373504197468
Subject 4,Short,Scaling,10,60,0.0124804203485713,0.211164325107277
Subject 4,Short,Scaling,12,60,0.0642909627651651,0.180528658582585
Subject 5,Short,Scaling,2,59,-0.0464087992630568,0.26912420675234
Subject 5,Short,Scaling,4,60,-0.1163624173085,0.253753771728067
Subject 5,Short,Scaling,6,59,-0.0910807794515825,0.253411998072302
Subject 5,Short,Scaling,8,60,-0.075021742817475,0.249874294061242
Subject 5,Short,Scaling,10,60,-0.07967586876233,0.255964682898821
Subject 5,Short,Scaling,12,60,-0.0379487566685257,0.204555813333517
Subject 6,Short,Scaling,2,60,-0.0239667792410283,0.24585337948721
Subject 6,Short,Scaling,4,60,-0.0521068302703263,0.220924031181083
Subject 6,Short,Scaling,6,60,-0.0159409213080943,0.298765726394975
Subject 6,Short,Scaling,8,60,-0.0361856074482793,0.253750841967144
Subject 6,Short,Scaling,10,60,-0.0372376367997801,0.27331032409625
Subject 6,Short,Scaling,12,60,0.0518341575231121,0.235515038579899
Subject 1,Long,Scaling,2,60,0.0193595200773708,0.255593081331047
Subject 1,Long,Scaling,4,60,-0.0512617584053831,0.207334677453525
Subject 1,Long,Scaling,6,60,-0.0207785339735972,0.230399425611951
Subject 1,Long,Scaling,8,60,-0.0392326292856224,0.214829803472759
Subject 1,Long,Scaling,10,59,-0.0370028102679311,0.21424855944432
Subject 1,Long,Scaling,12,59,-0.0327648777421124,0.2383054952022
Subject 2,Long,Scaling,2,60,0.0255829786473396,0.175813656662295
Subject 2,Long,Scaling,4,60,0.0112410372249819,0.130470863527493
Subject 2,Long,Scaling,6,60,0.0569504281102426,0.146690033786089
Subject 2,Long,Scaling,8,60,0.0231340122394166,0.145226491238234
Subject 2,Long,Scaling,10,60,0.0223403877320007,0.178528057804429
Subject 2,Long,Scaling,12,60,0.0538013950952329,0.167907637728553
Subject 3,Long,Scaling,2,60,0.0248711282823151,0.138782339778764
Subject 3,Long,Scaling,4,60,-0.000210521046090066,0.167362770146812
Subject 3,Long,Scaling,6,60,-0.0441775339524534,0.159613752802521
Subject 3,Long,Scaling,8,60,-0.000292512475322282,0.147770501358077
Subject 3,Long,Scaling,10,60,-0.068391259662021,0.174556720233756
Subject 3,Long,Scaling,12,60,-0.0165257623210162,0.150141551494963
Subject 4,Long,Scaling,2,60,0.0320606178371015,0.225882340509159
Subject 4,Long,Scaling,4,60,0.0423252228893403,0.211158891057142
Subject 4,Long,Scaling,6,60,0.0176638063093852,0.184308433462001
Subject 4,Long,Scaling,8,60,0.0282702307448732,0.181220830545602
Subject 4,Long,Scaling,10,60,-0.0112995592638994,0.172016781924005
Subject 4,Long,Scaling,12,60,-0.00532725356149816,0.210360481952416
Subject 5,Long,Scaling,2,60,-0.013053020045106,0.240744590671373
Subject 5,Long,Scaling,4,60,-0.0636725148249236,0.232522156176228
Subject 5,Long,Scaling,6,59,-0.0611840833374237,0.243728136097668
Subject 5,Long,Scaling,8,60,-0.0428471533655557,0.272636816607059
Subject 5,Long,Scaling,10,60,-0.00744044748495818,0.231614087297464
Subject 5,Long,Scaling,12,60,-0.049403216558068,0.231671106962653
Subject 6,Long,Scaling,2,60,0.13048164256116,0.280927031562333
Subject 6,Long,Scaling,4,60,0.0612535835248991,0.266405700945303
Subject 6,Long,Scaling,6,59,0.119609674813455,0.276033830483129
Subject 6,Long,Scaling,8,60,-0.0082979095145231,0.249351316437259
Subject 6,Long,Scaling,10,60,-0.0895214978921872,0.241818546886804
Subject 6,Long,Scaling,12,60,-0.00961767353758459,0.256430475053059
